分類,チェック項目,意味,花の配達,ケータリング,弁当配達,会場予約,会議弁当,宅配再配達,イベント備品レンタル,撮影手配,清掃予約,クリーニング集配,訪問マッサージ,ハウスクリーニング,不用品回収,家事代行,美容室予約,引越し見積り,出張撮影,植木剪定,鍵修理
総合点,,,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,13,9,8,5
顧客側,自分で電話するのは億劫だが、AIと話すだけで代行してくれるなら良い,心理的負担軽減,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
顧客側,自動音声でも対応可能（機械的な発話で問題ない）,技術受容性,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
顧客側,Web予約/APIが未整備で電話文化が残っている,電話代行の代替性が高い,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
顧客側,営業時間内で余裕を持って対応できる（即時対応不要）,利用余裕性,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
サービス提供側,依頼内容が定型的（日時・数量・住所などで完結）,自動化しやすい構造,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
サービス提供側,感情的判断（謝罪・交渉・雑談）が不要,感情リスクが少ない,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
サービス提供側,質問パターンが安定している（見積りが構造的）,会話安定性,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
サービス提供側,店舗ごとのサービス品質・メニューに差が少ない,標準化度が高い,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0
リスク,本人確認・契約・資格が不要,法務リスクが低い,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
リスク,通話で個人情報・機密情報を扱わない,プライバシーリスクが低い,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
リスク,緊急・即時対応ではない,運用リスクが低い,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
リスク,通話ログ・サマリーを残すことに業務上の価値がある,記録価値,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
リスク,同様の依頼が定期的に発生する（再現性あり）,自動化メリット,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
リスク,通話が短時間で完結する（確認中心）,成立率の高さ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
ビジネス価値,1年間に発注する回数（回）,,2,1,12,0.5,6,3,0.5,0.3,1,12,12,1.5,0.2,12,5,0.1,0.3,1,0.05
ビジネス価値,単価（円）,,5000,50000,1000,30000,8000,500,50000,40000,15000,3000,6000,30000,40000,10000,6000,80000,35000,20000,25000
ビジネス価値,発注者の人口（人）,,25000000,2000000,30000000,10000000,5000000,20000000,3000000,8000000,50000000,5000000,3000000,8000000,20000000,2000000,80000000,52000000,10000000,15000000,55000000
ビジネス価値,個人が購入,,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
ビジネス価値,TAM（億円）,,2500,1000,3600,1500,2400,300,750,960,7500,1800,2160,3600,1600,2400,24000,4160,1050,3000,687
ビジネス価値,SAM（億円）,,1000,400,1440,600,960,120,300,384,3000,720,864,1440,640,960,9600,1664,420,1200,275
ビジネス価値,SOM（億円）,,50,20,72,30,48,6,15,19,150,36,43,72,32,48,480,83,21,60,14
